y,U,UpUp,V,VpVp,Pxx,Pyy
-1.6142,1.0774,0.0022482,0.072438,0.0019096,0.00012316,0.00019844
-1.6126,1.0774,0.002259,0.072564,0.0019193,0.00012388,0.00019959
-1.611,1.0774,0.0022698,0.07269,0.001929,0.0001246,0.00020074
-1.6094,1.0774,0.0022806,0.072817,0.0019387,0.00012532,0.00020188
-1.6078,1.0774,0.0022918,0.072946,0.0019491,0.00012609,0.0002031
-1.6062,1.0774,0.0023033,0.073077,0.0019599,0.00012689,0.00020435
-1.6046,1.0774,0.0023147,0.073208,0.0019707,0.00012769,0.0002056
-1.603,1.0774,0.0023261,0.073339,0.0019815,0.00012849,0.00020686
-1.6014,1.0774,0.0023376,0.07347,0.0019922,0.0001293,0.00020811
-1.5998,1.0774,0.002349,0.073601,0.0020029,0.0001301,0.00020937
-1.5982,1.0774,0.0023604,0.073732,0.0020136,0.0001309,0.00021063
-1.5966,1.0774,0.0023719,0.073863,0.0020242,0.0001317,0.00021189
-1.595,1.0781,0.0023852,0.074036,0.0020363,0.0001391,0.00021321
-1.5934,1.0781,0.002397,0.074164,0.0020472,0.00013992,0.00021445
-1.5918,1.0781,0.0024089,0.074292,0.002058,0.00014073,0.00021569
-1.5902,1.0781,0.0024208,0.074421,0.0020688,0.00014155,0.00021694
-1.5886,1.0781,0.0024326,0.074549,0.0020795,0.00014236,0.00021818
-1.587,1.0781,0.0024445,0.074677,0.0020902,0.00014318,0.00021943
-1.5854,1.0774,0.0024557,0.074765,0.002101,0.00013741,0.00022077
-1.5838,1.0774,0.0024685,0.074899,0.0021134,0.00013832,0.00022216
-1.5822,1.0774,0.0024814,0.075033,0.0021257,0.00013923,0.00022354
-1.5806,1.0774,0.0024943,0.075167,0.002138,0.00014014,0.00022493
-1.579,1.0774,0.0025072,0.075301,0.0021504,0.00014105,0.00022633
-1.5774,1.0774,0.0025201,0.075435,0.0021626,0.00014195,0.00022772
-1.5758,1.0774,0.002533,0.075569,0.0021749,0.00014286,0.00022912
-1.5742,1.0774,0.0025458,0.075703,0.002187,0.00014377,0.00023051
-1.5726,1.0774,0.0025587,0.075837,0.0021991,0.00014467,0.0002319
-1.571,1.0774,0.0025716,0.075971,0.0022112,0.00014557,0.00023329
-1.5694,1.0774,0.0025844,0.076105,0.0022231,0.00014647,0.00023468
-1.5678,1.0774,0.0025972,0.076238,0.0022351,0.00014736,0.00023607
-1.5662,1.0774,0.0026077,0.07636,0.0022427,0.00014798,0.00023711
-1.5646,1.0774,0.0026207,0.076495,0.0022547,0.00014886,0.00023853
-1.563,1.0774,0.0026338,0.07663,0.0022667,0.00014974,0.00023997
-1.5614,1.0774,0.0026469,0.076765,0.0022793,0.00015073,0.00024139
-1.5598,1.0773,0.00266,0.0769,0.0022916,0.00015166,0.00024283
-1.5582,1.0773,0.0026733,0.077036,0.0023041,0.00015262,0.00024429
-1.5566,1.0773,0.0026865,0.077172,0.0023166,0.00015357,0.00024575
-1.555,1.0773,0.0026998,0.077308,0.002329,0.0001545,0.00024721
-1.5534,1.0773,0.0027131,0.077445,0.0023414,0.00015545,0.00024869
-1.5518,1.0773,0.0027265,0.077582,0.0023539,0.00015639,0.00025017
-1.5502,1.0773,0.00274,0.077719,0.0023665,0.00015735,0.00025166
-1.5486,1.0773,0.0027535,0.077856,0.0023792,0.0001583,0.00025316
-1.547,1.0773,0.0027671,0.077992,0.0023919,0.00015928,0.00025465
-1.5454,1.0773,0.0027816,0.07813,0.0024057,0.00016029,0.0002562
