y,P
1.6557,0.99394
1.6597,0.99396
1.6637,0.99398
1.6677,0.99399
1.6717,0.99401
1.6757,0.99402
1.6797,0.99404
1.6837,0.99405
1.6877,0.99407
1.6917,0.99408
1.6957,0.9941
1.6997,0.99411
1.7037,0.99413
1.7077,0.99414
1.7117,0.99416
1.7157,0.99417
1.7197,0.99419
1.7237,0.9942
1.7277,0.99422
1.7317,0.99423
1.7357,0.99424
1.7397,0.99426
1.7437,0.99427
1.7477,0.99429
1.7518,0.9943
1.7558,0.99431
1.7598,0.99433
1.7638,0.99434
1.7678,0.99436
1.7718,0.99437
1.7758,0.99439
1.7798,0.9944
1.7838,0.99441
1.7878,0.99443
1.7918,0.99444
1.7958,0.99445
1.7998,0.99447
1.8038,0.99448
1.8078,0.9945
1.8118,0.99451
1.8158,0.99452
1.8198,0.99454
1.8238,0.99455
1.8278,0.99456
1.8318,0.99458
1.8358,0.99459
1.8398,0.9946
1.8438,0.99462
1.8478,0.99463
1.8519,0.99464
1.8559,0.99466
1.8599,0.99467
1.8639,0.99468
1.8679,0.99469
1.8719,0.99471
1.8759,0.99472
1.8799,0.99473
1.8839,0.99475
1.8879,0.99476
1.8919,0.99477
1.8959,0.99478
1.8999,0.9948
1.9039,0.99481
1.9079,0.99482
1.9119,0.99483
1.9159,0.99485
1.9199,0.99486
1.9239,0.99487
1.9279,0.99488
1.9319,0.9949
1.9359,0.99491
1.9399,0.99492
1.9439,0.99493
1.9479,0.99494
1.952,0.99496
1.956,0.99497
1.96,0.99498
1.964,0.99499
1.968,0.995
1.972,0.99502
1.976,0.99503
1.98,0.99504
1.984,0.99505
1.988,0.99506
1.992,0.99508
1.996,0.99509
2,0.9951
