x,y
-1.7717717717717718,-1.8349555786056904e-05
-1.7677677677677677,-1.769633667587922e-05
-1.7637637637637638,-1.7098300634690866e-05
-1.7597597597597598,-1.651049449458153e-05
-1.7557557557557557,-1.6125025695812312e-05
-1.7517517517517518,-1.5350036132788514e-05
-1.7477477477477477,-1.4576239843772099e-05
-1.7437437437437437,-1.3708533581555105e-05
-1.7397397397397398,-1.3145100439496127e-05
-1.7357357357357357,-1.2521671667514722e-05
-1.7317317317317318,-1.1218618701194782e-05
-1.7277277277277276,-9.740239501968007e-06
-1.7237237237237237,-8.213145294186375e-06
-1.7197197197197198,-6.946062939397479e-06
-1.7157157157157157,-5.575484136904896e-06
-1.7117117117117118,-4.7911733519895305e-06
-1.7077077077077076,-4.816431537241206e-06
-1.7037037037037037,-3.7388268886856535e-06
-1.6996996996996998,-4.219207953876092e-06
-1.6956956956956957,-5.4589948155214785e-06
-1.6916916916916918,-2.6177744663763436e-06
-1.6876876876876876,-1.8016662581832321e-06
-1.6836836836836837,-1.9154819410477364e-06
-1.6796796796796798,-1.7052730460070942e-06
-1.6756756756756757,-5.870303939892185e-07
-1.6716716716716717,-3.1844327162688923e-06
-1.6676676676676676,6.174990845181361e-07
-1.6636636636636637,1.8183160889057026e-06
-1.6596596596596598,3.5301845582036417e-06
-1.6556556556556556,5.002713415580562e-06
-1.6516516516516517,5.962981982493565e-06
-1.6476476476476476,7.1849918518857026e-06
-1.6436436436436437,8.573149255466928e-06
-1.6396396396396398,5.544907832957802e-06
-1.6356356356356356,1.1798895202960735e-05
-1.6316316316316315,1.1961327758824858e-05
-1.6276276276276276,1.3241967089863693e-05
-1.6236236236236237,1.3972211303697746e-05
-1.6196196196196198,1.5225266595503273e-05
-1.6156156156156156,1.683037598894377e-05
-1.6116116116116115,1.783322099623008e-05
-1.6076076076076076,2.335909812514747e-05
-1.6036036036036037,2.237760086590268e-05
-1.5995995995995997,2.2199980795639673e-05
-1.5955955955955956,2.3368859497011063e-05
-1.5915915915915915,2.407205285648306e-05
-1.5875875875875876,2.5533090533449987e-05
-1.5835835835835836,2.7524528906211487e-05
-1.5795795795795795,2.9432858184796906e-05
-1.5755755755755756,2.8514397977616457e-05
-1.5715715715715715,3.059582884433476e-05
-1.5675675675675675,3.707609565212211e-05
-1.5635635635635636,3.59447260204343e-05
-1.5595595595595595,3.659158278869479e-05
-1.5555555555555556,3.818601680211087e-05
-1.5515515515515514,4.082934320991105e-05
-1.5475475475475475,4.21564091308696e-05
-1.5435435435435436,4.4420905895972695e-05
-1.5395395395395395,4.691569420159358e-05
-1.5355355355355356,4.8568726684600216e-05
-1.5315315315315314,5.062442346194518e-05
-1.5275275275275275,5.224713356934141e-05
-1.5235235235235236,5.661469458004276e-05
-1.5195195195195195,6.051039912106926e-05
-1.5155155155155156,6.459076721190837e-05
-1.5115115115115114,6.837715523076715e-05
-1.5075075075075075,7.076298115392399e-05
-1.5035035035035036,7.287351375970252e-05
-1.4994994994994995,7.660051863700446e-05
-1.4954954954954955,7.976209407158097e-05
-1.4914914914914914,7.489522491344047e-05
-1.4874874874874875,7.561908231382142e-05
-1.4834834834834836,7.154070625008113e-05
-1.4794794794794794,7.745728395053275e-05
-1.4754754754754755,7.471851611333402e-05
-1.4714714714714714,7.692130391243057e-05
-1.4674674674674675,8.020781848142033e-05
-1.4634634634634636,8.376845595704785e-05
-1.4594594594594594,8.854822695324172e-05
-1.4554554554554555,9.645820061640609e-05
-1.4514514514514514,0.00010362420406499762
-1.4474474474474475,0.00010750476879881066
-1.4434434434434436,0.00011284589333505901
-1.4394394394394394,0.00011758931333001599
-1.4354354354354353,0.00012251330342402666
-1.4314314314314314,0.00012664782932132745
-1.4274274274274275,0.00013073701991576925
-1.4234234234234235,0.0001284448595867682
-1.4194194194194194,0.00014546596841570614
-1.4154154154154153,0.0001483339493714153
-1.4114114114114114,0.0001509772630005346
-1.4074074074074074,0.00015313361555177596
-1.4034034034034035,0.00015569509948737403
-1.3993993993993994,0.000158327312888909
-1.3953953953953953,0.00016155223483280134
-1.3913913913913913,0.00016534019967427704
-1.3873873873873874,0.00017817823678012434
-1.3833833833833835,0.00017671205659866573
-1.3793793793793794,0.0001846961426110183
-1.3753753753753752,0.00019332249795622758
-1.3713713713713713,0.00020526792144023864
-1.3673673673673674,0.0002018132763825925
-1.3633633633633635,0.00020874049974432818
-1.3593593593593594,0.00022339966984248616
-1.3553553553553552,0.00022844431003420096
-1.3513513513513513,0.0002337560080078599
-1.3473473473473474,0.00023993074680174475
-1.3433433433433435,0.0002483513478271221
-1.3393393393393394,0.0002630256154462912
-1.3353353353353352,0.0002726427775463086
-1.3313313313313313,0.000275017484490922
-1.3273273273273274,0.00028584021035155116
-1.3233233233233235,0.0002966871441650032
-1.3193193193193193,0.00029752393382560804
-1.3153153153153152,0.00031546938411437797
-1.3113113113113113,0.00032478974481379985
