y,P
-0.70847,0.25811
-0.7058,0.26826
-0.70314,0.28061
-0.70047,0.29316
-0.6978,0.30695
-0.69513,0.32404
-0.69246,0.34169
-0.68979,0.3613
-0.68712,0.38296
-0.68446,0.4054
-0.68179,0.43084
-0.67912,0.45529
-0.67645,0.47928
-0.67378,0.50374
-0.67111,0.52951
-0.66845,0.55319
-0.66578,0.57675
-0.66311,0.60035
-0.66044,0.61885
-0.65777,0.63843
-0.6551,0.65829
-0.65243,0.67332
-0.64977,0.68755
-0.6471,0.69511
-0.64443,0.7031
-0.64176,0.70355
-0.63909,0.69839
-0.63642,0.69596
-0.63376,0.6825
-0.63109,0.66725
-0.62842,0.64855
-0.62575,0.61985
-0.62308,0.60068
-0.62041,0.56997
-0.61775,0.53759
-0.61508,0.50306
-0.61241,0.46398
-0.60974,0.43133
-0.60707,0.38698
-0.6044,0.35526
-0.60173,0.31971
-0.59907,0.28473
-0.5964,0.24698
-0.59373,0.21401
-0.59106,0.18252
-0.58839,0.15169
-0.58572,0.12457
-0.58306,0.098657
-0.58039,0.074888
-0.57772,0.05307
-0.57505,0.034386
-0.57238,0.016997
-0.56971,0.0012981
-0.56704,-0.013148
-0.56438,-0.024689
-0.56171,-0.035807
-0.55904,-0.045061
-0.55637,-0.052679
-0.5537,-0.058789
-0.55103,-0.06392
-0.54837,-0.067405
-0.5457,-0.069976
-0.54303,-0.071655
-0.54036,-0.072391
-0.53769,-0.07231
-0.53502,-0.071712
-0.53235,-0.070694
-0.52969,-0.069486
-0.52702,-0.06806
-0.52435,-0.0664
-0.52168,-0.064677
-0.51901,-0.062809
-0.51634,-0.060886
-0.51368,-0.058936
-0.51101,-0.05695
-0.50834,-0.054936
-0.50567,-0.052916
-0.503,-0.050872
-0.50033,-0.049073
-0.49767,-0.047322
-0.495,-0.045538
-0.49233,-0.043914
-0.48966,-0.042381
-0.48699,-0.040928
-0.48432,-0.039534
-0.48165,-0.038316
-0.47899,-0.037105
-0.47632,-0.035977
-0.47365,-0.034982
-0.47098,-0.034058
-0.46831,-0.033175
-0.46564,-0.032333
-0.46298,-0.031561
-0.46031,-0.030863
-0.45764,-0.030296
-0.45497,-0.029714
-0.4523,-0.029233
-0.44963,-0.028927
-0.44696,-0.028629
-0.4443,-0.028304
-0.44163,-0.027984
-0.43896,-0.027628
-0.43629,-0.027347
-0.43362,-0.027068
-0.43095,-0.026783
-0.42829,-0.026457
-0.42562,-0.026126
-0.42295,-0.025812
-0.42028,-0.025451
-0.41761,-0.025177
-0.41494,-0.025015
-0.41227,-0.024707
-0.40961,-0.024238
-0.40694,-0.023931
-0.40427,-0.023666
-0.4016,-0.023374
-0.39893,-0.023123
-0.39626,-0.022803
-0.3936,-0.022592
-0.39093,-0.022391
-0.38826,-0.021914
-0.38559,-0.021609
-0.38292,-0.021298
-0.38025,-0.021014
-0.37759,-0.020652
-0.37492,-0.020315
-0.37225,-0.019915
-0.36958,-0.019524
-0.36691,-0.019045
-0.36424,-0.018572
-0.36157,-0.018209
-0.35891,-0.017838
-0.35624,-0.017374
-0.35357,-0.016931
-0.3509,-0.016407
-0.34823,-0.015933
-0.34556,-0.015504
-0.3429,-0.015018
-0.34023,-0.014483
-0.33756,-0.014043
-0.33489,-0.013619
-0.33222,-0.01325
-0.32955,-0.012973
-0.32688,-0.012702
-0.32422,-0.012453
-0.32155,-0.012224
-0.31888,-0.011962
-0.31621,-0.011744
-0.31354,-0.011511
-0.31087,-0.011359
-0.30821,-0.011137
-0.30554,-0.010814
-0.30287,-0.010565
-0.3002,-0.010538
-0.29753,-0.010278
-0.29486,-0.010006
-0.29219,-0.0097348
-0.28953,-0.0095349
-0.28686,-0.0093146
-0.28419,-0.0091029
-0.28152,-0.0089576
-0.27885,-0.0087277
-0.27618,-0.0085693
-0.27352,-0.0082961
-0.27085,-0.0082776
-0.26818,-0.0081026
-0.26551,-0.0079345
-0.26284,-0.0078209
-0.26017,-0.0077805
-0.25751,-0.0076604
-0.25484,-0.0075028
-0.25217,-0.0072657
-0.2495,-0.0070033
-0.24683,-0.0068119
-0.24416,-0.0065724
-0.24149,-0.0063357
-0.23883,-0.0058967
-0.23616,-0.0056676
-0.23349,-0.0056376
-0.23082,-0.0053237
-0.22815,-0.0049768
-0.22548,-0.0047434
-0.22282,-0.0044678
-0.22015,-0.0041154
-0.21748,-0.0038103
-0.21481,-0.0035816
-0.21214,-0.0033185
-0.20947,-0.003155
-0.2068,-0.0029402
-0.20414,-0.0027046
-0.20147,-0.0023967
-0.1988,-0.0021139
-0.19613,-0.0018413
-0.19346,-0.0015382
-0.19079,-0.0012616
-0.18813,-0.0010377
-0.18546,-0.00080112
-0.18279,-0.00054104
-0.18012,-0.00030392
-0.17745,-2.5722e-05
-0.17478,0.00019819
