y,U,UpUp,V,VpVp,Pxx,Pyy
0.86515,1.299,0.0019996,-0.086843,0.0042722,0.00076971,0.0011452
0.86675,1.2985,0.0019877,-0.086596,0.0042433,0.00076372,0.0011344
0.86835,1.2979,0.0019763,-0.086353,0.0042172,0.00075804,0.001124
0.86995,1.2974,0.0019648,-0.086111,0.0041924,0.00075254,0.0011138
0.87155,1.2969,0.0019537,-0.085872,0.0041676,0.00074691,0.001104
0.87315,1.2964,0.0019435,-0.085634,0.0041429,0.00074108,0.001095
0.87475,1.2959,0.0019329,-0.085396,0.0041181,0.00073525,0.0010859
0.87635,1.2954,0.0019221,-0.085157,0.004093,0.00072942,0.0010763
0.87795,1.2949,0.0019113,-0.084914,0.0040676,0.00072383,0.0010663
0.87955,1.2944,0.0019001,-0.08467,0.004042,0.00071826,0.0010562
0.88115,1.2939,0.0018887,-0.084427,0.0040164,0.00071274,0.0010461
0.88275,1.2934,0.0018811,-0.084185,0.0039923,0.00070756,0.0010366
0.88435,1.2929,0.001873,-0.083943,0.0039681,0.0007024,0.0010271
0.88595,1.2932,0.0018624,-0.083758,0.0039468,0.00071166,0.0010158
0.88756,1.2927,0.0018522,-0.083522,0.0039243,0.00070663,0.0010062
0.88916,1.2914,0.0018409,-0.083235,0.0038993,0.00068716,0.00099844
0.89076,1.291,0.0018323,-0.083,0.0038771,0.00068222,0.00098965
0.89236,1.2905,0.0018233,-0.082764,0.0038549,0.00067731,0.00098077
0.89396,1.29,0.0018138,-0.082529,0.0038325,0.00067242,0.00097182
0.89556,1.2895,0.001804,-0.082293,0.0038102,0.00066756,0.00096278
0.89716,1.289,0.0017965,-0.082059,0.0037901,0.00066294,0.00095425
0.89876,1.2885,0.0017885,-0.081825,0.0037697,0.00065834,0.0009456
0.90036,1.2881,0.0017802,-0.081591,0.0037489,0.00065373,0.00093684
0.90196,1.2876,0.0017719,-0.081353,0.0037269,0.00064911,0.00092782
0.90356,1.2871,0.0017641,-0.081122,0.0037074,0.00064468,0.00091966
0.90516,1.2866,0.0017561,-0.080893,0.0036881,0.0006403,0.00091164
0.90676,1.2861,0.0017481,-0.080661,0.003668,0.0006359,0.0009034
0.90836,1.2857,0.0017404,-0.080426,0.0036466,0.00063144,0.00089476
0.90996,1.2852,0.0017329,-0.080194,0.0036268,0.00062712,0.00088664
0.91156,1.2847,0.0017254,-0.079967,0.0036087,0.00062294,0.00087901
0.91317,1.2843,0.0017185,-0.079737,0.0035894,0.00061878,0.00087123
0.91477,1.2838,0.0017118,-0.079505,0.0035695,0.00061459,0.00086323
0.91637,1.2833,0.0017046,-0.079272,0.0035495,0.00061043,0.00085516
0.91797,1.2829,0.0016972,-0.07904,0.0035295,0.0006063,0.00084707
0.91957,1.2824,0.0016915,-0.078813,0.0035115,0.00060231,0.00083985
0.92117,1.2819,0.0016854,-0.078586,0.0034934,0.00059835,0.00083255
0.92277,1.2815,0.0016773,-0.078361,0.0034766,0.00059452,0.00082515
0.92437,1.281,0.0016706,-0.078132,0.003459,0.00059077,0.00081754
0.92597,1.2806,0.0016642,-0.077904,0.0034392,0.00058671,0.00081017
0.92757,1.2801,0.0016575,-0.077674,0.0034205,0.00058289,0.00080252
0.92917,1.2804,0.0016527,-0.077495,0.0034055,0.00059294,0.0007941
0.93077,1.28,0.0016459,-0.077275,0.0033887,0.00058911,0.00078751
0.93237,1.2795,0.001642,-0.077047,0.003371,0.00058543,0.00078058
0.93397,1.2791,0.0016354,-0.076824,0.0033536,0.00058167,0.0007738
0.93557,1.2786,0.0016286,-0.076601,0.0033361,0.00057793,0.00076694
0.93717,1.2782,0.0016216,-0.076377,0.0033184,0.00057423,0.00076001
0.93878,1.2777,0.0016138,-0.076154,0.003301,0.0005706,0.00075297
0.94038,1.2773,0.0016066,-0.075935,0.0032854,0.0005671,0.00074646
0.94198,1.276,0.0016,-0.075672,0.0032692,0.00055023,0.00074174
0.94358,1.2756,0.0015946,-0.075451,0.0032517,0.0005466,0.00073538
0.94518,1.2752,0.0015889,-0.07523,0.0032353,0.00054318,0.00072897
0.94678,1.2747,0.0015829,-0.075009,0.0032189,0.0005398,0.00072249
0.94838,1.2743,0.0015765,-0.074787,0.0032024,0.00053644,0.00071596
0.94998,1.2738,0.0015703,-0.074567,0.0031862,0.00053312,0.00070959
0.95158,1.2734,0.0015653,-0.074347,0.0031703,0.00052983,0.00070345
0.95318,1.273,0.0015599,-0.074127,0.0031542,0.00052657,0.00069725
0.95478,1.2725,0.0015542,-0.073907,0.0031381,0.00052334,0.000691
0.95638,1.2721,0.0015484,-0.073688,0.0031222,0.00052013,0.00068484
0.95798,1.2717,0.0015432,-0.073474,0.0031072,0.00051692,0.00067923
0.95958,1.2712,0.0015376,-0.073259,0.0030921,0.00051374,0.00067357
0.96118,1.2708,0.0015324,-0.073043,0.0030769,0.00051061,0.00066784
0.96279,1.2704,0.0015277,-0.072826,0.0030616,0.00050753,0.00066204
0.96439,1.27,0.0015227,-0.072608,0.0030462,0.00050447,0.0006562
0.96599,1.2695,0.0015176,-0.072391,0.0030308,0.00050144,0.00065042
0.96759,1.2691,0.0015121,-0.07218,0.0030185,0.00049869,0.000645
0.96919,1.2687,0.001507,-0.071967,0.0030047,0.00049581,0.00063958
0.97079,1.2682,0.0015022,-0.071754,0.0029904,0.00049285,0.00063426
0.97239,1.2678,0.0014975,-0.071542,0.0029758,0.00048987,0.00062901
0.97399,1.2674,0.0014926,-0.07133,0.0029611,0.00048689,0.00062378
0.97559,1.267,0.0014874,-0.071118,0.0029463,0.00048394,0.00061851
0.97719,1.2666,0.0014819,-0.070907,0.0029314,0.00048102,0.00061318
0.97879,1.2661,0.001476,-0.070695,0.0029165,0.00047812,0.00060781
0.98039,1.2657,0.0014705,-0.07048,0.0029016,0.00047535,0.0006022
0.98199,1.2653,0.0014669,-0.070268,0.0028872,0.00047251,0.00059722
0.98359,1.2649,0.0014628,-0.070059,0.002874,0.00046979,0.00059234
0.98519,1.2645,0.0014585,-0.06985,0.0028607,0.00046711,0.00058741
0.98679,1.2641,0.0014537,-0.06964,0.0028473,0.00046445,0.00058243
0.9884,1.2637,0.0014487,-0.069431,0.0028338,0.00046181,0.0005774
0.99,1.2632,0.0014435,-0.069222,0.0028202,0.00045918,0.0005724
0.9916,1.2628,0.0014387,-0.069015,0.0028065,0.00045649,0.00056763
0.9932,1.2624,0.0014339,-0.068809,0.0027927,0.00045378,0.00056299
0.9948,1.262,0.0014287,-0.068604,0.0027788,0.00045109,0.00055832
0.9964,1.2616,0.0014235,-0.0684,0.0027664,0.00044855,0.00055374
0.998,1.2612,0.0014191,-0.068196,0.0027538,0.00044598,0.00054933
0.9996,1.2608,0.001415,-0.067993,0.0027411,0.00044341,0.00054499
1.0012,1.2604,0.0014107,-0.067789,0.0027283,0.00044088,0.00054053
