x,Cp
0.85759,-0.13821
0.86022,-0.13786
0.86284,-0.1375
0.86544,-0.13679
0.86804,-0.13643
0.87062,-0.13571
0.87319,-0.13536
0.87574,-0.13464
0.87829,-0.13429
0.88082,-0.13357
0.88333,-0.13286
0.88583,-0.1325
0.88832,-0.13179
0.8908,-0.13107
0.89326,-0.13036
0.89571,-0.12964
0.89814,-0.12893
0.90055,-0.12821
0.90296,-0.1275
0.90534,-0.12679
0.90771,-0.12607
0.91007,-0.125
0.91241,-0.12429
0.91473,-0.12357
0.91704,-0.1225
0.91933,-0.12143
0.92161,-0.12071
0.92387,-0.11964
0.9261,-0.11857
0.92833,-0.1175
0.93053,-0.11643
0.93272,-0.11536
0.93489,-0.11393
0.93704,-0.11286
0.93917,-0.11143
0.94128,-0.11036
0.94337,-0.10893
0.94544,-0.1075
0.9475,-0.10607
0.94953,-0.10429
0.95154,-0.10286
0.95353,-0.10107
0.9555,-0.099643
0.95744,-0.097857
0.95937,-0.096071
0.96127,-0.093929
0.96314,-0.0925
0.965,-0.090357
0.96682,-0.088214
0.96863,-0.086071
0.97041,-0.083929
0.97216,-0.081429
0.97389,-0.078929
0.97559,-0.076429
0.97726,-0.073929
0.9789,-0.071071
0.98051,-0.068214
0.9821,-0.065
0.98365,-0.061786
0.98517,-0.058571
0.98665,-0.055
0.9881,-0.051786
0.98952,-0.047857
0.99089,-0.043929
0.99223,-0.039643
0.99352,-0.035357
0.99477,-0.030714
0.99597,-0.025714
0.99711,-0.020714
0.99819,-0.015
0.99916,-0.0085714
