x,Cp
0.076186,1.6296
0.075059,1.6312
0.073933,1.6329
0.072807,1.6347
0.071689,1.6365
0.07057,1.6386
0.069452,1.6407
0.068335,1.6429
0.067225,1.6451
0.066117,1.6476
0.065009,1.6502
0.063901,1.653
0.062804,1.6559
0.061706,1.6591
0.06061,1.6624
0.059514,1.6659
0.058428,1.6696
0.057344,1.6736
0.056259,1.6778
0.055176,1.6823
0.054101,1.687
0.053028,1.692
0.051955,1.6974
0.050883,1.7031
0.049822,1.7092
0.048762,1.7158
0.047702,1.7227
0.046644,1.7301
0.045596,1.738
0.04455,1.7465
0.043505,1.7555
0.042461,1.765
0.041428,1.775
0.040397,1.7856
0.039367,1.7969
0.038339,1.8088
0.037322,1.8212
0.036306,1.8344
0.035293,1.8481
0.034282,1.8627
0.033283,1.8776
0.032286,1.8932
0.031293,1.9095
0.030301,1.9265
0.029323,1.9438
0.028347,1.9617
0.027375,1.9802
0.026404,1.9995
0.025449,2.0191
0.024496,2.0392
0.023547,2.0598
0.0226,2.0813
0.021669,2.1031
0.020741,2.1252
0.019818,2.148
0.018899,2.1722
0.017996,2.1953
0.017099,2.2185
0.016209,2.2418
0.015324,2.266
0.01446,2.2901
0.013601,2.3137
0.012751,2.3378
0.011909,2.3626
0.011086,2.3883
0.010273,2.4137
0.0094694,2.44
0.0086767,2.4664
0.0079093,2.4921
0.007158,2.5149
0.0064239,2.5354
0.0057049,2.5497
0.0050179,2.5693
0.0043537,2.5832
0.0037129,2.595
0.0030954,2.6124
0.0025196,2.6318
0.0019835,2.6289
0.001487,2.6254
0.0010302,2.6727
0.00063555,2.7146
0.00033232,2.5495
0.00012047,2.3274
1.4036e-05,1.5832
0,2.24
0.00013218,1.0786
0.00035443,0.61786
0.00068079,0.17536
0.0010701,-0.11071
0.001505,-0.33571
0.0019856,-0.51071
0.0025119,-0.66071
0.0030502,-0.74286
0.0036073,-0.81429
0.0041831,-0.87143
0.0047775,-0.91429
0.0053747,-0.94643
0.0059836,-0.96786
0.0066046,-0.98571
0.0072357,-0.99643
0.0078658,-1.0071
0.008503,-1.0107
0.0091482,-1.0143
0.0098016,-1.0143
0.010453,-1.0107
0.01111,-1.0071
0.011774,-1.0036
0.012442,-1
0.01311,-0.99286
0.013783,-0.98571
0.014462,-0.97857
0.015146,-0.97143
0.015826,-0.96429
0.016508,-0.95714
0.017193,-0.95
0.017881,-0.94286
0.018562,-0.93571
0.019244,-0.92857
0.019927,-0.92143
0.02061,-0.91429
0.021287,-0.90714
0.021963,-0.9
0.022639,-0.89286
0.023314,-0.88571
0.023981,-0.87857
0.024647,-0.86786
0.025311,-0.85357
0.025974,-0.80714
0.026957,-0.83214
